t;ax_g;ay_g;az_g;x_g;y_g;z_g;tx_g;ty_g;tz_g
0.111600101;136490.167883263;81559.2882159613;114386.539715857;300.275476110044;78.2380418923656;-187.203654402194;0.880586718441536;-1.3713363274377;-0.392925592156101
0.111699998;131395.334233099;81529.9733598174;115744.033025168;301.504580956344;78.5918848957837;-187.459727753311;0.881050209317791;-1.37236643297077;-0.393040951052436
0.111800604;127549.320217282;81034.9051134407;117534.507139755;302.743737450711;78.949060357063;-187.716450033602;0.881494915732463;-1.3733927466434;-0.393154496601277
0.111900501;124350.82294411;80198.0198351692;118703.908188107;303.975440313256;79.304529404374;-187.970187610436;0.881919790451258;-1.37441272659782;-0.393265984489058
0.112000398;121630.650948708;77877.6213185136;118746.445400331;305.208385317073;79.6607950795079;-188.222743403589;0.882323516716723;-1.37542328749227;-0.393374911481079
0.112100199;120207.523730868;75619.0982865508;117508.508580069;306.44136076262;80.0174945994232;-188.473876369858;0.882707516803469;-1.37642805887844;-0.393481500880149
0.112200104;119507.482473009;74292.1108716982;115547.992822068;307.676822027963;80.3753225071429;-188.724100598405;0.883071990037922;-1.37742806627511;-0.393585878433588
0.112300403;118444.700244669;72464.2776958385;114818.398251526;308.918354590941;80.7353062272075;-188.974148454601;0.883417566318253;-1.37842617899192;-0.39368858631569
0.112400003;116844.320974674;70048.9637738719;116404.839036189;310.152412510802;81.0935011168987;-189.221304916436;0.883742577955346;-1.37941867423711;-0.393789735596349
0.112500302;114088.917992237;68086.0555817622;118881.779030061;311.396299550477;81.4549131689702;-189.469026733508;0.884047130272926;-1.38040718634807;-0.393890081635984
0.112600498;111110.7009311;67330.9503488039;120302.03026169;312.640054608326;81.8166409962458;-189.715302720256;0.884332121839637;-1.38139469411173;-0.393990307538974
0.112700097;108992.874346967;68465.5367268259;119387.844654307;313.877506668622;82.1768881525615;-189.958920157904;0.884596010414281;-1.38237472394805;-0.394089657375046
0.1128003;107630.368361621;72165.0406225103;116442.053451632;315.123555955626;82.5400117837151;-190.20282496495;0.884839859299;-1.38335057736389;-0.394187801521507
0.112900503;106811.913624662;76743.7764229859;112044.585792036;316.370687286198;82.9038622051625;-190.445564263057;0.885064295847445;-1.3843249714113;-0.394283953652446
0.113000698;105927.505918511;79501.1870647162;108972.77696561;317.618791214696;83.2684494699871;-190.687155988632;0.885268328547515;-1.38529465274329;-0.394376742725588
0.113100097;103945.595382513;80395.878128514;107166.657173495;318.858027649317;83.6309242424329;-190.925744220042;0.88545098308328;-1.3862556088404;-0.394465251497717
0.113200299;100916.191246396;79309.9917533242;106932.077607627;320.108312128597;83.9971263083821;-191.165184301457;0.88561258950329;-1.38721176055186;-0.394549843430221
0.113300502;98629.4136544343;77262.89199008;107543.564721025;321.359624207765;84.3641259353406;-191.403550987421;0.885753696449943;-1.3881671407396;-0.394631263730003
0.113399997;97515.2257907178;74567.1638528254;108115.918496173;322.603077719116;84.729298466102;-191.639165174836;0.88587359541266;-1.38911482681925;-0.394709492802963
0.113500699;97044.1559963073;71090.4587066084;108677.527144836;323.862600453576;85.0996505848601;-191.876547848405;0.885973260233527;-1.39006083928513;-0.394785596859807
0.113600597;96994.8661752862;69065.3975230589;109038.729061754;325.113040639983;85.4677618313609;-192.110946857459;0.886053083939576;-1.39100504264389;-0.39486001797827
0.113700598;97614.8454414573;68699.5991492816;111151.567037751;326.365741236447;85.8369470747016;-192.344493316352;0.886113113873947;-1.39194233064296;-0.39493252154721
0.113800503;98961.883115697;69196.1029417396;113609.441658631;327.618215827831;86.2064660770552;-192.576704779185;0.886154542147812;-1.39287594814644;-0.39500329702656
0.113900498;99655.4045986761;70268.5345669708;115081.815972563;328.872806162201;86.577010984011;-192.807992419445;0.886178225405699;-1.39380580234994;-0.395072126483513
0.114000402;100120.868772484;71730.4877659592;115138.257805757;330.127249286231;86.9479213039908;-193.037923981044;0.886184654166;-1.39473199264526;-0.395138756717889
0.114100397;100290.370974732;74248.242419795;114515.105168483;331.38383496471;87.3198890260575;-193.266915936523;0.886173784219935;-1.39565451844548;-0.39520292931586
0.114200301;99394.2906529315;75970.8668308864;114364.49250955;332.640275868756;87.6922576458859;-193.494554844443;0.886145281832742;-1.39657332475447;-0.395264353014686
0.114300303;97916.0885422788;77061.0421827186;114709.394104728;333.898941306148;88.0657493274496;-193.721272684121;0.886098885900445;-1.39748835338145;-0.39532274362889
0.114400297;96453.2636670154;77857.28798194;114102.029496938;335.158485173607;88.4399809440965;-193.946827765009;0.886034619996539;-1.39839998511936;-0.395377856278175
